,user_id,join_date,flag
0,M3077761479,2021-11-22 10:32:00,0
1,M2451903006,2021-11-06 20:04:00,0
2,M2283580805,2021-11-24 13:13:00,0
3,M6879509586,2021-11-04 18:44:00,0
4,M558552046,2021-12-03 22:04:00,0
5,M492905899,2021-12-03 06:03:00,0
6,M4264827822,2021-10-29 01:17:00,0
7,M78767887,2021-11-16 20:51:00,0
8,M327550016,2021-11-30 13:31:00,0
9,M74886981,2021-12-15 07:01:00,0
10,M217016192,2021-12-24 20:23:00,0
11,M4425603552,2021-11-11 02:39:00,0
12,M65608115,2021-11-24 04:54:00,0
13,M2711953310,2021-12-11 09:32:00,0
14,M2259483896,2021-12-04 03:27:00,0
15,M2554784557,2021-11-22 10:03:00,0
16,M3302413384,2021-11-28 00:29:00,0
17,M316090639,2021-11-15 02:07:00,0
18,M2530393201,2021-12-01 17:46:00,0
19,M3894243771,2021-12-02 23:23:00,0
20,M4414791596,2021-11-24 05:51:00,0
21,M4967087861,2021-12-10 15:18:00,0
22,M2769129555,2021-11-27 04:14:00,0
23,M309577756,2021-11-10 14:31:00,0
24,M2562254920,2021-11-22 11:16:00,0
25,M4984057999,2021-11-10 18:49:00,0
26,M113309149,2021-12-22 18:54:00,0
27,M3023559999,2021-12-06 17:19:00,0
28,M448510303,2021-11-10 17:34:00,0
29,M3847900672,2021-11-22 11:14:00,0
30,M441106397,2021-11-28 00:00:00,0
31,M2470440261,2021-11-13 06:52:00,0
32,M524424900,2021-11-20 15:45:00,0
33,M148537933,2021-12-22 07:57:00,0
34,M607138316,2021-12-12 02:53:00,0
35,M351278691,2021-11-07 07:03:00,0
36,M326081997,2021-11-30 03:27:00,0
37,M482144996,2021-12-08 11:24:00,0
38,M370085996,2021-12-12 12:51:00,0
39,M568993005,2021-11-16 15:41:00,0
40,M544510845,2021-12-14 10:40:00,0
41,M614306830,2021-11-27 01:29:00,0
42,M4001783047,2021-11-28 01:48:00,0
43,M3571503353,2021-11-14 10:36:00,0
44,M4970905099,2021-10-30 08:37:00,0
45,M4922856659,2021-11-29 21:10:00,0
46,M108972980,2021-11-30 02:08:00,0
47,M388743931,2021-11-03 19:25:00,0
48,M185064638,2021-12-04 06:40:00,0
49,M3057665075,2021-11-20 15:07:00,0
50,M608988272,2021-12-01 14:34:00,0
51,M3768532885,2021-11-27 16:42:00,0
52,M452893369,2021-12-09 15:04:00,0
53,M233632998,2021-11-24 04:06:00,0
54,M301908038,2021-12-01 22:46:00,0
55,M2290617299,2021-12-08 05:27:00,0
56,M2208569841,2021-12-03 00:44:00,0
57,M2755517705,2021-11-16 13:34:00,0
58,M402587210,2021-12-05 18:17:00,0
59,M2996204412,2021-11-30 22:35:00,0
60,M2639450160,2021-11-09 07:05:00,0
61,M108692030,2021-12-07 16:23:00,0
62,M3557433383,2021-11-15 19:30:00,0
63,M580174160,2021-12-11 22:04:00,0
64,M2504247665,2021-11-02 15:13:00,0
65,M376946987,2021-11-22 14:47:00,0
66,M4521585627,2021-11-16 06:31:00,0
67,M297640410,2021-12-10 07:06:00,0
68,M69068472,2021-12-31 22:35:00,0
69,M551722620,2021-11-21 13:54:00,0
70,M458146454,2021-12-03 05:53:00,0
71,M4249601030,2021-12-14 17:30:00,0
72,M203751095,2021-11-22 12:50:00,0
73,M238366427,2021-11-25 16:37:00,0
74,M135217017,2021-12-10 07:26:00,0
75,M487366382,2021-11-30 01:26:00,0
76,M3039234066,2021-11-25 08:40:00,0
77,M4241150241,2021-12-03 15:02:00,0
78,M4953232070,2021-11-16 17:42:00,0
